Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Female,Male,Loyal Customer,disloyal Customer,Business travel,Personal Travel,Business,Eco,Eco Plus,satisfaction
0,19556,52,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,1,0,1,0,1,0,0,1,0,satisfied
1,90035,36,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
2,12360,20,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
3,77959,44,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0,0,1,1,0,1,0,1,0,0,satisfied
4,36875,49,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,1,0,1,0,1,0,0,1,0,satisfied
5,39177,16,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,0,1,1,0,1,0,0,1,0,satisfied
6,79433,77,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
7,97286,43,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,1,0,1,0,1,0,1,0,0,satisfied
8,27508,47,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,0,1,1,0,1,0,0,1,0,satisfied
9,62482,46,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,1,0,1,0,1,0,1,0,0,satisfied
10,47583,47,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,1,0,1,0,1,0,0,1,0,satisfied
11,115550,33,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,1,0,1,0,1,0,1,0,0,neutral or dissatisfied
12,119987,46,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
13,42141,60,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,1,0,1,0,1,0,1,0,0,satisfied
14,2274,52,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,1,0,1,0,1,0,1,0,0,satisfied
15,22470,50,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
16,124915,31,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,1,0,1,0,1,0,0,1,0,neutral or dissatisfied
17,17836,52,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,0,1,1,0,0,1,0,0,1,satisfied
18,76872,43,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
19,64287,50,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,1,0,1,0,1,0,1,0,0,satisfied
20,63995,60,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,0,1,1,0,1,0,1,0,0,satisfied
21,75855,43,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
22,106181,55,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
23,44304,25,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
24,82602,30,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
25,7823,62,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
26,127781,24,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
27,34501,22,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0,1,0,1,0,1,0,0,1,0,satisfied
28,121658,44,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
29,20219,51,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0,0,1,1,0,1,0,0,1,0,neutral or dissatisfied
30,67551,43,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0,0,1,1,0,0,1,1,0,0,neutral or dissatisfied
31,48994,56,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0,1,0,1,0,1,0,0,1,0,satisfied
32,70811,41,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
33,75241,22,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
34,12312,53,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0,1,0,1,0,1,0,0,1,0,satisfied
35,48372,12,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0,0,1,1,0,0,1,0,1,0,neutral or dissatisfied
36,51477,39,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0,1,0,1,0,1,0,1,0,0,satisfied
37,84204,55,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0,1,0,1,0,1,0,1,0,0,satisfied
38,70990,32,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0,1,0,0,1,1,0,1,0,0,neutral or dissatisfied
39,101991,40,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
40,87447,42,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0,1,0,0,1,1,0,1,0,0,neutral or dissatisfied
41,16112,24,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0,0,1,0,1,1,0,0,1,0,satisfied
42,16172,22,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0,0,1,1,0,1,0,1,0,0,neutral or dissatisfied
43,106558,28,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0,1,0,1,0,1,0,1,0,0,satisfied
44,11536,36,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0,1,0,1,0,1,0,0,0,1,neutral or dissatisfied
45,47773,62,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0,1,0,1,0,1,0,0,1,0,satisfied
46,70521,60,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
47,96283,59,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
48,117993,49,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0,1,0,1,0,1,0,1,0,0,satisfied
49,74703,44,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
50,110840,58,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0,1,0,1,0,0,1,0,0,1,neutral or dissatisfied
51,88249,24,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0,0,1,0,1,1,0,1,0,0,satisfied
52,125877,53,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0,1,0,1,0,1,0,0,1,0,satisfied
53,83968,56,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0,0,1,1,0,1,0,0,1,0,neutral or dissatisfied
54,122719,30,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
55,3949,27,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0,0,1,0,1,1,0,1,0,0,neutral or dissatisfied
56,45542,27,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0,0,1,1,0,1,0,1,0,0,satisfied
57,43742,67,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
58,122093,32,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
59,121454,36,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
60,738,44,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0,0,1,1,0,1,0,1,0,0,satisfied
61,75235,70,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
62,88653,55,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
63,26594,66,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0,0,1,1,0,1,0,0,1,0,satisfied
64,38339,19,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0,1,0,1,0,1,0,1,0,0,satisfied
65,46063,53,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0,1,0,1,0,0,1,0,0,1,neutral or dissatisfied
66,27957,22,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0,0,1,1,0,1,0,1,0,0,neutral or dissatisfied
67,17270,69,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
68,87976,42,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0,1,0,1,0,1,0,1,0,0,satisfied
69,31640,41,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0,1,0,1,0,1,0,1,0,0,satisfied
70,41461,53,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0,1,0,1,0,0,1,1,0,0,neutral or dissatisfied
71,15143,35,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0,0,1,1,0,1,0,1,0,0,neutral or dissatisfied
72,78136,54,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0,1,0,1,0,0,1,1,0,0,neutral or dissatisfied
73,120433,44,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0,0,1,1,0,1,0,1,0,0,satisfied
74,41440,26,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0,1,0,0,1,1,0,0,0,1,neutral or dissatisfied
75,15963,44,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
76,64303,24,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0,1,0,0,1,1,0,0,1,0,neutral or dissatisfied
77,3608,54,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
78,7744,42,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0,0,1,1,0,1,0,0,0,1,neutral or dissatisfied
79,21276,36,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
80,58576,61,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0,1,0,1,0,1,0,1,0,0,satisfied
81,53888,50,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0,1,0,1,0,0,1,0,1,0,neutral or dissatisfied
82,10980,27,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0,0,1,1,0,1,0,1,0,0,satisfied
83,54151,55,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0,0,1,1,0,1,0,1,0,0,neutral or dissatisfied
84,115641,21,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0,0,1,0,1,1,0,0,1,0,neutral or dissatisfied
